Alphabets,Colors,Digits,Arithmetic,Shapes,Objects,Emotions,Sound,Communication,Actions,Recommended Lessons
6.64,4.8,8,2,9.78,6.71,5,6.62,0,3.28, Colors Arithmetic Emotions Communication Actions
0,10,4.11,0.8,7,6.64,0,0,0,0,Alphabets Digits Arithmetic Emotions Sound Communication Actions
2.14,7,7.02,4,1.51,1.18,7.7,6.5,8.46,1.98,Alphabets Arithmetic Shapes Objects Actions
9,6.05,0,0,8,0.22,0.95,8.08,0.77,8, Digits Arithmetic Objects Emotions Communication
6.68,2.7,6.84,2.42,5.49,0,0,1,7.72,0, Colors Arithmetic Shapes Objects Emotions Sound Actions
2,5.68,8.14,9,1,0,2,5,7.46,0,Alphabets Colors Shapes Objects Emotions Sound Actions
5.28,5,0,3.93,7.02,0.72,4.74,2.84,6,0,Alphabets Colors Digits Arithmetic Objects Emotions Sound Actions
0.9,7.75,2.85,7.99,2.39,7.19,8,0.01,3,0.26,Alphabets Digits Shapes Sound Communication Actions
7.88,0,2.61,4.83,8,5.45,3,6.05,7.46,4, Colors Digits Arithmetic Objects Emotions Actions
2.1,6.23,4.16,8,0.72,8.7,5.17,1.88,6,1.82,Alphabets Digits Shapes Emotions Sound Actions
10,4.78,6.99,6.7,4.16,2.36,8,2.33,10,0, Colors Shapes Objects Sound Actions
7.3,2,0,5.64,10,1.18,6.07,1,6.48,6.36, Colors Digits Arithmetic Objects Sound
6.08,5,0,0,8,0,0,1.83,2.77,0.26, Colors Digits Arithmetic Objects Emotions Sound Communication Actions
7.44,9.1,0.51,0,0,3,1.94,8,5,0.39, Digits Arithmetic Shapes Objects Emotions Communication Actions
0,4.07,8,4.68,0,3.94,0,8.07,6.1,3.88,Alphabets Colors Arithmetic Shapes Objects Emotions Actions
7,3,7.34,0,6.79,0.19,8,0,3.39,0.56, Colors Arithmetic Objects Sound Communication Actions
5.35,3,6,10,10,0,0.27,0,9,4,Alphabets Colors Objects Emotions Sound Actions
2,10,2.77,3.25,4.99,2.66,1,4,0.56,6.76,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication
6,4.94,3,3,7,6,6.1,7.77,8.85,5.08, Colors Digits Arithmetic Actions
9,5,1.8,2,0,4.07,0,5,1.7,5, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
4.32,1,0,3.7,3.91,4.94,5.2,2,2.39,0.67,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
10,10,0.35,8.43,3,2,7,5.34,4.19,1.38, Digits Shapes Objects Sound Communication Actions
0,3.3,5.8,9.09,5.19,8,4.17,1.94,0,2,Alphabets Colors Digits Shapes Emotions Sound Communication Actions
7.26,3.55,4,1.49,0,4.4,0,6,5.38,9.51, Colors Digits Arithmetic Shapes Objects Emotions Communication
0.81,4.79,0,0,8,8,2.89,2.22,4.85,0.1,Alphabets Colors Digits Arithmetic Emotions Sound Communication Actions
7.58,0,7.86,4.32,7,3,0,10,1,1, Colors Arithmetic Objects Emotions Communication Actions
0.57,7.01,2,0,3.41,3,0,5.33,0.11,1.43,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
4.27,0,10,5.64,1.67,6.67,0,5.33,3,5,Alphabets Colors Arithmetic Shapes Emotions Sound Communication Actions
0,1.19,4.75,5,9.07,3.42,6.48,8,2,4,Alphabets Colors Digits Arithmetic Objects Communication Actions
9.73,1.96,0,2.67,10,4.78,3.46,10,7,5.68, Colors Digits Arithmetic Objects Emotions Actions
3,1.01,1,7,5.82,3.01,2.75,4,6.24,0,Alphabets Colors Digits Shapes Objects Emotions Sound Actions
6.25,0,2,4.28,2.18,2.22,2.83,0,3.57,0, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,4.03,3,0.28,2.6,0.85,4,4.63,2.97,9.87,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
8,0,1,0,7,2,6,7.33,3,0, Colors Digits Arithmetic Objects Communication Actions
4,7.64,3.8,3,4.78,5,9.78,6.93,7.92,4,Alphabets Digits Arithmetic Shapes Objects Actions
5,0.4,0,2.1,4,1.64,10,0,8,7.92,Alphabets Colors Digits Arithmetic Shapes Objects Sound
8.74,0.78,6.33,8.03,5,7.21,4.11,1,0,8.56, Colors Shapes Emotions Sound Communication
1.92,4,3.21,4.59,9.71,2.96,0,0,1.71,8.9,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication
5,0,0,7,1.94,5.09,0.89,8.74,0,6.8,Alphabets Colors Digits Shapes Objects Emotions Communication
0.43,7.64,5.03,5.78,8.2,6.89,5.58,2.83,1.65,3.5,Alphabets Digits Arithmetic Emotions Sound Communication Actions
4.67,2,8.02,0,4.46,9,8.86,2,8,1,Alphabets Colors Arithmetic Shapes Sound Actions
0.7,2.71,3.86,4.91,0,4.28,7,6,6,0,Alphabets Colors Digits Arithmetic Shapes Objects Actions
0,7.95,7.83,6,3.91,6.91,1,3.09,9,0.87,Alphabets Shapes Emotions Sound Actions
0.32,3.65,7.62,6.65,9,0,8,0,3,5,Alphabets Colors Objects Sound Communication Actions
8,4.61,3,5.05,7.79,3,7,0,0,5.21, Colors Digits Arithmetic Objects Sound Communication Actions
0,6,4.34,9,0,4.89,0,2.07,1.31,9.51,Alphabets Digits Shapes Objects Emotions Sound Communication
0,5.71,4,7.48,1,4.62,0,4.64,4.5,8.06,Alphabets Colors Digits Shapes Objects Emotions Sound Communication
7.96,0,6,6.63,3.58,5.53,2.03,0,0,0, Colors Shapes Objects Emotions Sound Communication Actions
7.01,2.21,0.55,2.37,6,4.65,4.33,7,0.09,3, Colors Digits Arithmetic Objects Emotions Communication Actions
8.93,0,1,4,3.28,0,7.25,2.67,8,3.69, Colors Digits Arithmetic Shapes Objects Sound Actions
4,2.29,0,7,6.38,4.72,6.22,9.01,5.41,5.74,Alphabets Colors Digits Objects Communication Actions
6.15,0.32,1.16,8,6.41,0.95,1,4,1.46,0, Colors Digits Objects Emotions Sound Communication Actions
0,3.75,9,0.08,1.31,1,4.6,10,1.62,5,Alphabets Colors Arithmetic Shapes Objects Emotions Communication Actions
0,1,1.55,7.83,1,1.62,3.18,0,5.58,9.12,Alphabets Colors Digits Shapes Objects Emotions Sound Communication
0,3.94,3.56,5.56,7.11,0,0,4.87,2.72,2.51,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
8.3,0.46,7.39,0.82,7.84,8.05,1,0,1.19,4.33, Colors Arithmetic Emotions Sound Communication Actions
7.48,5.29,5,1.78,5,8.74,5.19,0,8.19,1.1, Colors Digits Arithmetic Shapes Emotions Sound Actions
8.41,5,8.48,6.5,4,4.01,0,3.8,7,3.04, Colors Shapes Objects Emotions Sound Actions
6.48,2.86,0,3.04,2.59,9.09,7.33,6.78,0,1.17, Colors Digits Arithmetic Shapes Communication Actions
0.85,0,6.4,4,6.46,0,1,3,8.28,0,Alphabets Colors Arithmetic Objects Emotions Sound Actions
2,6,1.49,5.09,4.24,4.77,2.04,0,7.85,1,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Actions
3.32,0,1.84,7.13,2.85,0,0,3.79,6.05,1.12,Alphabets Colors Digits Shapes Objects Emotions Sound Actions
9,0,6,8.16,6,3,10,0,5,5, Colors Objects Sound Communication Actions
1.41,0,0,1.27,2.04,7,2.98,6.99,10,0,Alphabets Colors Digits Arithmetic Shapes Emotions Actions
1.75,8.89,4,0,3,9,8.5,2.31,5.62,5,Alphabets Digits Arithmetic Shapes Sound Communication Actions
6,6.47,6,10,5,9,5.24,3.25,0,6, Shapes Emotions Sound Communication
1.21,0,8.44,0,2,3.48,0,9,3,1,Alphabets Colors Arithmetic Shapes Objects Emotions Communication Actions
0,8,8,2.88,0,6.24,0.53,0,5.2,1.96,Alphabets Arithmetic Shapes Emotions Sound Communication Actions
1.42,2.98,2,4,8.64,4,10,6.53,7.81,0,Alphabets Colors Digits Arithmetic Objects Actions
6,1.3,8.88,7.94,6.27,6.01,0,0,8,4.31, Colors Emotions Sound Actions
0.26,9.62,8,6.29,7.66,5.82,0.88,0,5.91,2.17,Alphabets Objects Emotions Sound Communication Actions
3.79,8.4,2.7,8,8.15,0.32,5,4,0.41,7,Alphabets Digits Objects Emotions Sound Communication
7.46,7,3.4,9,5.97,3,7,7,7,6, Digits Shapes Objects
0,6.84,5.71,7.96,3.07,4,4.09,7.98,0.93,8.9,Alphabets Digits Shapes Objects Emotions Communication
4,0.46,8.97,0,0,0,6.98,8,10,4.05,Alphabets Colors Arithmetic Shapes Objects Actions
6,0,3.97,2,2.22,0,6,0,1,3.86, Colors Digits Arithmetic Shapes Objects Sound Communication Actions
5,6.74,4.61,5.13,7.84,9,7,4.44,0,4.39,Alphabets Digits Arithmetic Sound Communication Actions
0.49,4.95,3,0,0,8,0,9.64,0,4,Alphabets Colors Digits Arithmetic Shapes Emotions Communication Actions
10,6.47,9,10,10,1.3,5.01,0,8,1.3, Objects Emotions Sound Actions
7.34,0,2.02,1.29,1,4.2,0,5.21,6.57,0, Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
8.53,0,6,3.2,0,1.39,7.01,3.79,0,5.24, Colors Arithmetic Shapes Objects Sound Communication Actions
2,9,0,0,1.56,1,3.47,6.47,2.13,4,Alphabets Digits Arithmetic Shapes Objects Emotions Communication Actions
2.38,9,0,6.21,0.88,1.49,3,5.55,0,3,Alphabets Digits Shapes Objects Emotions Sound Communication Actions
6.61,2,0,0,3.31,10,1.77,2.74,5,1.12, Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
1.6,6,2,0.63,0.64,8,0.26,2.44,8.7,6.62,Alphabets Digits Arithmetic Shapes Emotions Sound
0,0,9,3.38,6.76,4,0,5.82,9,7.14,Alphabets Colors Arithmetic Objects Emotions Sound
0,3.95,3.01,5.32,3.86,1.79,5,3,5.34,4.74,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
6,6.35,3.76,8,5.61,7.84,1.93,10,9,7.49, Digits Shapes Emotions
3.21,3.09,0.94,1.54,9,0.46,1,0,0,0,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
3.93,5.91,2.18,0,5.48,5.48,4.81,3.37,1,0.1,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
6.84,3.06,0,1,5.65,2,7.3,4,7,9, Colors Digits Arithmetic Shapes Objects Sound
5.61,4.91,0.8,5.58,0,5,8.56,6,4,2.94,Alphabets Colors Digits Arithmetic Shapes Objects Communication Actions
1.91,0,10,9,4,2.18,9.77,9,1.86,0,Alphabets Colors Shapes Objects Communication Actions
7.29,0.34,8,7.89,1,6.17,0.54,0.67,1.06,4.75, Colors Shapes Emotions Sound Communication Actions
5.53,10,3.99,1.73,3.45,3.92,4.19,7.61,0,7.22,Alphabets Digits Arithmetic Shapes Objects Emotions Communication
4.65,4.88,6.88,1.48,0,2.7,6.4,9,10,4,Alphabets Colors Arithmetic Shapes Objects Actions
2,0.53,7.37,0.33,1.57,4.61,0,4.61,9.5,1.16,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Actions
5.86,1,2.64,0.43,1.41,4,4,2.79,7,4.45,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
0,0,3.64,0,3.22,8,5.86,6.22,7.09,8,Alphabets Colors Digits Arithmetic Shapes Emotions
4.84,0,0,3.36,8.05,6.43,1,0,6.41,5.57,Alphabets Colors Digits Arithmetic Emotions Sound Actions
5.98,0,0.7,5.89,1.88,5.01,4,2.01,10,7,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound
0.38,2.09,3.55,5,7.81,6,0,1.45,0,8,Alphabets Colors Digits Arithmetic Emotions Sound Communication
4.67,3.59,5.37,10,5.95,7.22,0,2.74,0.82,8,Alphabets Colors Digits Shapes Emotions Sound Communication
3.96,1,6.24,2.85,10,4,2.72,4.64,6.13,10,Alphabets Colors Arithmetic Objects Emotions Sound
3.95,7.97,5.15,5.97,6.92,2.91,1.9,2.49,0.08,0.87,Alphabets Digits Arithmetic Objects Emotions Sound Communication Actions
6,2,1.26,6.65,6.01,1.93,5.99,5.83,4.06,3, Colors Digits Objects Emotions Sound Communication Actions
0,2.82,0,4.96,8,0,9.65,0,6,0,Alphabets Colors Digits Arithmetic Objects Sound Actions
2.65,6.5,2.58,4.28,6,4.25,2,7.63,4.86,3,Alphabets Digits Arithmetic Objects Emotions Communication Actions
3.71,2.93,0,5.99,6.06,3.36,6,0.33,0.64,9,Alphabets Colors Digits Arithmetic Objects Sound Communication
0,7.89,8,2.17,5,7.63,5.31,6.49,8.27,0,Alphabets Arithmetic Shapes Emotions Actions
4.67,1,8,1.54,5.95,0.41,4,3.92,3.17,3,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
6.09,0,4.72,3.61,2.17,7.43,3.38,3.93,5.89,0.5, Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
0,0.53,2,2,0,0,8.08,4.24,7,9,Alphabets Colors Digits Arithmetic Shapes Objects Sound
10,0,4.17,4.74,3.35,3.95,5.07,5,4.48,6.66, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
1.64,6,1.68,3,6.05,6.36,7,2,6.15,0.61,Alphabets Digits Arithmetic Sound Actions
0,2.36,2,1,6.36,2.26,0.72,8.03,0,2,Alphabets Colors Digits Arithmetic Objects Emotions Communication Actions
7.96,1,6.8,1.7,1,1.09,7.69,3.86,1,2.59, Colors Arithmetic Shapes Objects Sound Communication Actions
7,7.87,1,3.95,2.74,5.46,9.53,1,3.72,0, Digits Arithmetic Shapes Objects Sound Communication Actions
1.32,3.25,6.72,6.86,2.39,1.46,0,2,0.11,10,Alphabets Colors Shapes Objects Emotions Sound Communication
0.52,5.81,9.53,0.85,0.81,0,0,2.04,2,5.56,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
8.35,4.46,0,6.53,3.18,9.41,4.17,3.83,2.98,0, Colors Digits Shapes Emotions Sound Communication Actions
5.6,4.51,8.85,6.63,6.68,9.14,8.09,1,1,0,Alphabets Colors Sound Communication Actions
1.72,2.22,0,4,3.63,0.38,5.63,0.82,9,7.36,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound
8.83,6.58,0,0,2.52,0,5.57,6.49,8,9.05, Digits Arithmetic Shapes Objects Emotions
5.53,0.11,2,1.09,0.42,1.98,7.75,2,10,0,Alphabets Colors Digits Arithmetic Shapes Objects Sound Actions
2,9,0,0.01,1.49,4.84,5.04,8.12,9,0,Alphabets Digits Arithmetic Shapes Objects Emotions Actions
4.68,0.45,2,9.17,9.96,8.59,2,5.5,2.25,0.31,Alphabets Colors Digits Emotions Sound Communication Actions
2,5.62,1.23,3,1.99,7.47,4.77,6.87,0,5,Alphabets Colors Digits Arithmetic Shapes Emotions Communication Actions
2.51,2.65,10,1.38,0,1.78,1.59,9.2,8.74,6.98,Alphabets Colors Arithmetic Shapes Objects Emotions
5.16,1.85,1.17,3,2,7.88,2.22,4.59,0.81,0,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
8.34,0,3,6.98,5.26,5.65,0.75,4,0.59,7.11, Colors Digits Shapes Objects Emotions Sound Communication
4.91,1.87,4,10,6.46,0,7.59,0,0.71,9.78,Alphabets Colors Digits Objects Sound Communication
3.83,1.66,4.27,10,0,1.08,5,8.97,1.26,6.16,Alphabets Colors Digits Shapes Objects Emotions Communication
3.84,4.97,5.26,1.56,0,5.82,7,0,6.49,8.63,Alphabets Colors Digits Arithmetic Shapes Objects Sound
6.77,8.01,0,6.91,0,1,3.75,7.64,7.49,8.88, Digits Shapes Objects Emotions
2.07,3.02,8,4,5.83,1.91,3,7,0,10,Alphabets Colors Arithmetic Shapes Objects Emotions Communication
4.96,4.87,5.89,9,8,5.54,0,0.74,6.04,5.84,Alphabets Colors Digits Objects Emotions Sound Actions
5,2,0,3.77,3.44,0,5.16,3,0,0.83,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
7.14,2,3.92,8,1.04,6.37,4.03,4.03,7,8, Colors Digits Shapes Emotions Sound
10,8.08,2.15,4.37,4,6.58,4.12,5.15,6.9,5.87, Digits Arithmetic Shapes Emotions Sound Actions
6,1.51,3.78,0,4.4,4.21,0,0,1.46,0, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
9,1.45,0,8.31,0,0,1.42,9,6,6.57, Colors Digits Shapes Objects Emotions
2.26,0.28,7.63,7,9.98,7.66,3.34,3,3.56,7,Alphabets Colors Emotions Sound Communication
7,2.95,7.62,6.22,7,1.67,2.33,2.1,2,0, Colors Objects Emotions Sound Communication Actions
1.92,0.31,3.76,0.27,2,4.51,5,7.48,7.64,4.14,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Actions
0,2,5.6,7.81,1,7.51,0.41,9.37,0,8.28,Alphabets Colors Digits Shapes Emotions Communication
10,4.82,4,5.52,0.84,0,0,6.98,0,6.54, Colors Digits Arithmetic Shapes Objects Emotions Communication
0,4.37,0,2.9,1,7,4.69,2.67,5,1.65,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
6.08,1.32,2.14,0,1.44,0,5.5,9.17,4.11,2.2, Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
1.82,1.42,0,3.92,6,6.19,5.16,7,1.85,6,Alphabets Colors Digits Arithmetic Emotions Communication
5.78,0,5.51,2.08,7,7.68,2,0,5.09,5.89,Alphabets Colors Digits Arithmetic Emotions Sound Communication Actions
0.46,0,0,9.41,0,2.44,3.27,8.36,1,1.42,Alphabets Colors Digits Shapes Objects Emotions Communication Actions
3,0,2,1,0,0,6,3.83,1.24,2.23,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication Actions
7.42,7.19,5,3.8,2.27,5.33,2.9,7,1.57,4.58, Digits Arithmetic Shapes Objects Emotions Communication Actions
5.42,1.19,7.84,2.69,3,0,5.82,1.07,6.98,3.77,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Actions
1,4,8,2.32,5,1.76,2.13,7.09,7.38,0,Alphabets Colors Arithmetic Shapes Objects Emotions Actions
7,0,0,8,5,0.23,8.27,0,3.93,0.88, Colors Digits Shapes Objects Sound Communication Actions
7,0,6.27,0,10,3.28,9.53,5.41,7,0, Colors Arithmetic Objects Sound Actions
7.5,2.99,1.54,0.68,1.9,0,1.12,0,7.86,5.74, Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
10,0,3.17,6.38,7.44,0.45,7,6.98,7.81,0.24, Colors Digits Objects Actions
7.09,5,4.39,7.93,4.46,4,4,0.07,7,6.67, Colors Digits Shapes Objects Emotions Sound
4,10,5,9.94,3,1.92,1.7,2,8,5,Alphabets Digits Shapes Objects Emotions Sound Actions
1.56,6.31,1.53,5.66,0,7.6,6.5,7.33,1.7,0,Alphabets Digits Arithmetic Shapes Communication Actions
5.54,7,5.18,0,2.28,3.63,3,5.15,2.98,9,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication
0,4.41,2.25,4.26,4.56,3.62,8.73,7.97,7.33,7.39,Alphabets Colors Digits Arithmetic Shapes Objects
5,7.34,8,4,0.31,7.54,1.97,5.08,6.05,3.83,Alphabets Arithmetic Shapes Emotions Sound Actions
0.93,2.39,6.76,9,3,4.02,0.17,9,5.74,1.18,Alphabets Colors Shapes Objects Emotions Communication Actions
1.49,4.05,2.32,3.95,3.33,9,5.56,3.54,7.84,7,Alphabets Colors Digits Arithmetic Shapes Emotions Sound
7.26,6.97,0,0.82,0,6.21,0,0,1,5.92, Digits Arithmetic Shapes Emotions Sound Communication Actions
1.38,2.57,1.97,1,1,1,10,2.33,6.83,10,Alphabets Colors Digits Arithmetic Shapes Objects Sound
0,7.65,6,5.89,4.82,6.41,4,0,5.54,4.96,Alphabets Arithmetic Shapes Emotions Sound Communication Actions
0,0,1.84,4.01,0,1,2.29,6,1,2,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
4,6.31,0,4,6.29,4,2,0.58,0,2,Alphabets Digits Arithmetic Objects Emotions Sound Communication Actions
4.29,9,5,8,2.22,0,5.64,0.68,6,5.2,Alphabets Digits Shapes Objects Emotions Sound Actions
9,5.58,9,0.71,3.57,1,0,7.02,3,2.8, Colors Arithmetic Shapes Objects Emotions Communication Actions
9.91,3.97,6.79,10,0,0,6,1,9.79,2.87, Colors Shapes Objects Sound Actions
4.63,5.98,5.21,0.15,8.47,3.74,7.61,8.69,4.35,8.77,Alphabets Colors Digits Arithmetic Objects Communication
6,3.39,6.95,10,0,2.09,0,1,0,1.27, Colors Shapes Objects Emotions Sound Communication Actions
0,8.08,1,0,0,1.3,8.16,10,2,0.02,Alphabets Digits Arithmetic Shapes Objects Communication Actions
1,0,0,0.5,3.78,0,2.19,1,7.87,4,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
5.12,5.12,0,1,4.37,7.28,5.37,3.66,3.24,0.66,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
5,6,0.09,3.73,1.27,2.61,6.81,10,8.17,6.68,Alphabets Digits Arithmetic Shapes Objects
6,3.89,6.93,3,10,3,4.03,0.78,5.03,5.77, Colors Arithmetic Objects Emotions Sound Communication Actions
9,5,1.5,4,0.96,0,0,4,5.24,0.12, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
6.71,1.02,5.59,1,3.81,5.26,6.79,1,1.84,6, Colors Digits Arithmetic Shapes Objects Sound Communication
5.16,3,1.57,0.84,3,2,2.51,6,2.63,1.55,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
5.14,1.23,4.71,7.67,5.92,4.31,1.86,0.7,3.86,9,Alphabets Colors Digits Shapes Objects Emotions Sound Communication
0,6.79,0.55,4,2,0,7.47,6.89,0,9.64,Alphabets Digits Arithmetic Shapes Objects Communication
2,6.96,4.05,1.77,0,0.75,5,4.95,1.56,5,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
3,7,4.09,1.56,7.98,9.81,0,4.73,5.05,9,Alphabets Digits Arithmetic Emotions Sound Communication
7.26,8.02,0.2,5,8.31,8,10,9.78,1.31,3.89, Digits Arithmetic Communication Actions
6.56,6.54,5.93,1.34,0,7,2.27,2.66,6,4.8, Digits Arithmetic Shapes Emotions Sound Actions
7.36,1.46,10,0,0,8.2,5.64,0.47,6.21,6.08, Colors Arithmetic Shapes Emotions Sound
1.53,4.98,0.96,4,5,0.62,2.65,0,0,0,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
9,0,7,10,4.9,5.04,0.57,4.28,10,0, Colors Shapes Objects Emotions Sound Actions
0,1.31,5.18,2,5,10,9,5.66,5.7,4.73,Alphabets Colors Digits Arithmetic Shapes Sound Communication Actions
2.8,7.67,2.72,4.48,0,8.19,0,0,5.34,3,Alphabets Digits Arithmetic Shapes Emotions Sound Communication Actions
4.78,1,0.3,1,5.89,2,6.29,10,9.92,5,Alphabets Colors Digits Arithmetic Shapes Objects Actions
1,8,0,6.86,0,1.99,4,5,7.88,5.5,Alphabets Digits Shapes Objects Emotions Sound Actions
6.96,0,5.51,4,2,0,0,0,7.43,0, Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
2.39,2.89,0,2,0,7.98,0,4.76,6.63,1,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Actions
3.43,3.85,8.06,0.44,0,2.32,3.08,1.98,7,3.13,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Actions
0,1.95,7.76,5.35,3.16,0.24,0,7.27,6.64,4.45,Alphabets Colors Arithmetic Shapes Objects Emotions Actions
8.73,0,3,1,0,0,0,8,4.65,2, Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
8.32,0,2.12,4.49,7,10,2.76,1.05,0.6,0.94, Colors Digits Arithmetic Emotions Sound Communication Actions
0,4.2,9.99,6.71,0,6,5.86,7.39,8,2,Alphabets Colors Shapes Emotions Actions
0.06,6.34,0,7,1.66,4.41,1.93,6.58,7.8,2.15,Alphabets Digits Shapes Objects Emotions Actions
5,7.36,0,0,0.09,0,0,7.27,1.15,0,Alphabets Digits Arithmetic Shapes Objects Emotions Communication Actions
4,1.79,9.24,3.95,9.96,3.72,8,6.98,0,5.48,Alphabets Colors Arithmetic Objects Communication Actions
10,2.65,3.04,2.11,0.7,0.99,1,6.2,4.98,8, Colors Digits Arithmetic Shapes Objects Emotions Communication
4.5,0,5,5,6,0,0.57,0.32,9,0,Alphabets Colors Digits Arithmetic Objects Emotions Sound Actions
0,6,4,1,7.13,5.66,3,2.68,1.56,2.62,Alphabets Digits Arithmetic Objects Emotions Sound Communication Actions
3.87,2.2,1,8.92,8,4,1.98,2.87,0.87,9,Alphabets Colors Digits Objects Emotions Sound Communication
6.99,4.33,4.08,9.95,0,7.03,9,1.1,0,5.69, Colors Digits Shapes Sound Communication Actions
0,7,1.08,2,5.01,1.46,0,0,2.88,5.25,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,4,2.23,2,0,3.54,9.14,0.4,9.08,5,Alphabets Colors Digits Arithmetic Shapes Objects Sound Actions
8.53,2,0,0,1.92,6,0,7.52,7.57,3.63, Colors Digits Arithmetic Shapes Emotions Actions
2,5.15,2.99,4.66,3,2.81,4.62,4.46,8,2,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
6.5,2.14,0,5,4,2.02,4,0,2,0, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,1.46,4,0,5.29,1.32,5.4,7.5,9,5,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Actions
4.45,4.09,7,6,0.31,2.92,6.2,0.84,2.23,6.85,Alphabets Colors Shapes Objects Sound Communication
6.04,7.48,6.72,0.17,3.56,0,0.8,8,0.71,2.53, Arithmetic Shapes Objects Emotions Communication Actions
3.42,9.08,6.98,3.53,1,7.49,5.21,7,0.06,9,Alphabets Arithmetic Shapes Emotions Communication
4,4.91,8.48,2,9.47,4.7,3.17,10,5.52,6.49,Alphabets Colors Arithmetic Objects Emotions Communication
5.18,3.66,0,3,4,9.13,6.83,0,0,0,Alphabets Colors Digits Arithmetic Shapes Sound Communication Actions
0,0,9,0.21,0,3,1.98,0,0,1.98,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
0,0,3.62,3.99,1,4.62,10,0,1.35,3.8,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication Actions
6.49,1.84,6.17,0,7.21,9.93,0.65,0,7.49,8, Colors Arithmetic Emotions Sound
2.81,5.91,0,10,3.85,1.36,6.7,5,1,8.34,Alphabets Colors Digits Shapes Objects Sound Communication
4,0,0,0,7.14,8,0,0,8,6.31,Alphabets Colors Digits Arithmetic Emotions Sound
1.36,9,0,4,1.09,2.62,1,7.13,1.1,3,Alphabets Digits Arithmetic Shapes Objects Emotions Communication Actions
8.47,0,3,0.55,4.56,6,6,6,1.16,6.14, Colors Digits Arithmetic Shapes Communication
2.74,0,0,0,0,2.93,0,5,7,0.33,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
0.44,0.38,0,6.65,0,4.39,4,5.21,0,0,Alphabets Colors Digits Shapes Objects Emotions Sound Communication Actions
2.86,3.88,2.57,5.46,6.5,0,7.3,9,2,2.1,Alphabets Colors Digits Arithmetic Objects Communication Actions
0,0,7.28,2,0,5.75,5,9.01,6,6,Alphabets Colors Arithmetic Shapes Objects Emotions
0,5.64,4.01,8.7,2,2,4.21,4.9,10,7.8,Alphabets Colors Digits Shapes Objects Emotions Sound
4.57,9,4,0,5.83,3,0,6,6.88,1.01,Alphabets Digits Arithmetic Shapes Objects Emotions Actions
1,6,0,7,0,6.04,3.86,10,0,7,Alphabets Digits Shapes Emotions Communication
